Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Aarti Drugs Ltd.,Aartidrugs,Healthcare,Eq,400.5,401.8,394.1,403.85,400.0,-3.85,-0.95,31782.0,12627306.42,749.75,378.0,-42.92,-5.1
Aditya Birla Capital Ltd.,Abcapital,Financial Services,Eq,89.0,90.6,88.35,89.4,90.25,0.85,0.95,2401323.0,215182554.0,139.2,85.6,-23.75,-11.57
Aditya Birla Fashion And Retail Ltd.,Abfrl,Consumer Services,Eq,235.6,243.5,235.6,237.05,242.2,5.15,2.17,1014277.0,243548193.2,322.0,189.35,9.87,-12.62
Aditya Birla Sun Life Amc Ltd.,Abslamc,Financial Services,Eq,400.05,406.7,400.0,400.05,405.9,5.85,1.46,34489.0,13901826.12,722.9,375.0,-11.06,-5.09
Adani Ports And Special Economic Zone Ltd.,Adaniports,Services,Eq,670.0,680.0,656.0,672.05,678.3,6.25,0.93,3151179.0,2105491761.0,924.65,651.95,-4.5,-9.16
Advanced Enzyme Tech Ltd.,Advenzymes,Fast Moving Consumer Goods,Eq,266.2,268.7,258.4,266.2,264.0,-2.2,-0.83,40076.0,10549606.24,435.95,258.4,-35.78,-7.02
Aegis Logistics Ltd.,Aegischem,Oil Gas & Consumable Fuels,Eq,208.7,212.6,205.15,209.0,211.45,2.45,1.17,247355.0,51731824.7,386.0,167.25,-39.22,-3.95
Affle (India) Ltd.,Affle,Information Technology,Eq,1060.0,1060.3,1004.65,1060.3,1010.0,-50.3,-4.74,241660.0,246983769.8,1511.0,763.02,-11.06,0.78
Ajanta Pharmaceuticals Ltd.,Ajantpharm,Healthcare,Eq,1233.0,1275.05,1229.35,1235.6,1265.9,30.3,2.45,109740.0,137293519.2,2435.0,1186.0,-42.5,-27.87
Allcargo Logistics Ltd.,Allcargo,Services,Eq,259.0,271.5,256.0,262.95,269.0,6.05,2.3,502907.0,133391052.7,412.0,152.5,64.5,-17.76
Alok Industries Ltd.,Alokinds,Textiles,Be,22.3,22.3,21.5,22.0,21.55,-0.45,-2.05,1040692.0,22645457.92,35.8,18.85,-11.06,-6.01
Amara Raja Batteries Ltd.,Amarajabat,Automobile And Auto Components,Eq,459.1,471.7,456.05,458.7,469.5,10.8,2.35,438273.0,202727558.9,781.6,438.05,-38.43,-8.69
Ambuja Cements Ltd.,Ambujacem,Construction Materials,Eq,363.95,368.6,362.1,363.0,367.5,4.5,1.24,2763265.0,1011078664.0,442.5,274.0,6.56,-1.73
Angel One Ltd.,Angelone,Financial Services,Eq,1202.0,1228.0,1185.0,1206.2,1216.05,9.85,0.82,414524.0,499671374.8,2022.0,839.05,-11.06,-18.25
Anupam Rasayan India Ltd.,Anuras,Chemicals,Eq,610.0,626.2,604.6,610.1,620.7,10.6,1.74,37228.0,22843845.36,1107.55,546.75,-19.72,-11.28
Apl Apollo Tubes Ltd.,Aplapollo,Capital Goods,Eq,843.9,855.0,836.0,849.95,845.1,-4.85,-0.57,165325.0,139906281.3,1114.55,718.08,-47.83,-9.31
Alembic Pharmaceuticals Ltd.,Aplltd,Healthcare,Eq,727.75,731.6,717.0,728.25,729.9,1.65,0.23,63552.0,46195948.8,1016.7,678.3,-26.01,-0.51
Apollo Tyres Ltd.,Apollotyre,Automobile And Auto Components,Eq,185.7,190.0,184.3,185.1,188.9,3.8,2.05,1276512.0,238682213.8,250.0,165.25,-17.73,-15.23
Aptus Value Housing Finance India Ltd.,Aptus,Financial Services,Eq,276.5,294.7,274.3,281.8,293.65,11.85,4.21,449163.0,128519009.2,394.9,220.1,-11.06,-1.38
Asahi India Glass Ltd.,Asahiindia,Automobile And Auto Components,Eq,536.8,549.0,530.25,539.6,548.0,8.4,1.56,261012.0,140842075.2,612.9,324.65,60.43,20.85
Aster Dm Healthcare Ltd.,Asterdm,Healthcare,Eq,179.55,179.55,174.3,178.0,176.0,-2.0,-1.12,92393.0,16259320.14,237.0,148.4,15.55,-10.84
Astral Ltd.,Astral,Capital Goods,Eq,1651.0,1664.95,1639.9,1655.5,1657.0,1.5,0.09,125312.0,207061789.4,2524.95,1581.55,-16.79,-4.3
Au Small Finance Bank Ltd.,Aubank,Financial Services,Eq,586.0,587.3,563.3,591.7,580.0,-11.7,-1.98,2741511.0,1574011126.0,732.98,462.5,-42.88,-52.72
Aurobindo Pharma Ltd.,Auropharma,Healthcare,Eq,512.25,524.0,506.5,513.1,522.75,9.65,1.88,831959.0,429032936.7,1013.0,503.45,-46.84,-3.33
Avanti Feeds Ltd.,Avantifeed,Fast Moving Consumer Goods,Eq,432.85,436.5,425.0,432.85,436.0,3.15,0.73,142890.0,61885659.0,674.85,384.2,-20.7,0.87
Bajaj Electricals Ltd,Bajajelec,Consumer Durables,Eq,1021.0,1048.0,1000.2,1023.95,1042.0,18.05,1.76,326410.0,335030488.1,1588.95,858.55,-0.29,3.41
Balrampur Chini Mills Ltd.,Balramchin,Fast Moving Consumer Goods,Eq,360.0,362.5,354.65,359.45,360.7,1.25,0.35,1214196.0,435192130.3,525.9,297.6,1.05,-11.1
Bank Of India,Bankindia,Financial Services,Eq,44.2,45.0,43.9,44.35,44.9,0.55,1.24,1053018.0,46711878.48,80.75,40.4,-43.07,-7.51
Bombay Burmah Trading Corporation Ltd.,Bbtc,Fast Moving Consumer Goods,Eq,891.0,924.0,891.0,903.25,924.0,20.75,2.3,20192.0,18467603.2,1353.15,839.9,-31.75,-9.45
Brightcom Group Ltd.,Bcg,Information Technology,Eq,32.9,32.9,32.9,31.35,32.9,1.55,4.94,821102.0,27014255.8,122.88,10.73,40.27,-51.17
Bharat Dynamics Ltd.,Bdl,Capital Goods,Eq,677.0,679.95,660.05,681.25,668.0,-13.25,-1.94,693286.0,462442560.6,904.9,356.85,90.32,-13.07
Berger Paints India Ltd.,Bergepaint,Consumer Durables,Eq,570.45,583.95,563.75,568.3,583.0,14.7,2.59,1316578.0,757664307.4,872.95,543.6,-29.41,-7.58
Bharat Forge Ltd.,Bharatforg,Capital Goods,Eq,645.15,649.35,635.0,651.8,643.0,-8.8,-1.35,650298.0,418492774.9,847.95,595.0,-14.45,-7.53
Biocon Ltd.,Biocon,Healthcare,Eq,308.75,312.0,305.0,308.4,311.3,2.9,0.94,1136834.0,351054339.2,414.4,305.0,-23.75,-7.69
Birla Corporation Ltd.,Birlacorpn,Construction Materials,Eq,874.9,877.1,826.0,870.95,839.9,-31.05,-3.57,120235.0,101789748.7,1650.0,823.0,-28.19,-10.63
Blue Star Ltd.,Bluestarco,Consumer Durables,Eq,892.1,903.75,885.35,903.75,890.9,-12.85,-1.42,42446.0,38077882.14,1225.0,758.0,10.75,-11.78
Borosil Renewables Ltd.,Bororenew,Capital Goods,Eq,603.0,614.8,595.2,601.7,607.7,6.0,1.0,469179.0,284435077.0,833.35,261.2,-11.06,-8.39
Brigade Enterprises Ltd.,Brigade,Realty,Eq,439.0,447.45,436.05,444.4,443.5,-0.9,-0.2,140806.0,62332000.08,554.7,268.7,58.88,-4.36
Bse Ltd.,Bse,Financial Services,Eq,594.95,604.95,586.45,596.9,600.15,3.25,0.54,778640.0,463088353.6,1046.67,296.33,-33.71,-21.03
Birlasoft Ltd.,Bsoft,Information Technology,Eq,353.7,357.1,343.55,353.25,352.1,-1.15,-0.33,1752456.0,612360700.1,585.85,316.45,-11.6,-4.68
Can Fin Homes Ltd.,Canfinhome,Financial Services,Eq,427.85,443.4,424.7,426.35,441.45,15.1,3.54,663285.0,290260148.9,722.0,406.65,-18.57,-11.86
Caplin Point Laboratories Ltd.,Caplipoint,Healthcare,Eq,704.0,714.15,704.0,710.4,711.25,0.85,0.12,26432.0,18764605.44,1034.8,626.0,6.49,-4.28
Carborundum Universal Ltd.,Carboruniv,Capital Goods,Eq,715.0,721.55,698.35,716.9,710.0,-6.9,-0.96,117136.0,82768297.6,1035.0,590.55,18.25,-0.5
Castrol India Ltd.,Castrolind,Oil Gas & Consumable Fuels,Eq,103.3,104.15,102.75,103.3,104.0,0.7,0.68,228227.0,23644317.2,150.0,99.05,-27.81,-4.97
Ccl Products (I) Ltd.,Ccl,Fast Moving Consumer Goods,Eq,380.0,385.15,375.25,383.45,382.3,-1.15,-0.3,132875.0,50844618.75,514.95,310.0,6.03,8.29
Central Depository Services (India) Ltd.,Cdsl,Financial Services,Eq,1111.4,1117.7,1096.0,1114.4,1105.0,-9.4,-0.84,208635.0,230664769.7,1734.4,974.0,13.88,-11.38
Ceat Ltd.,Ceatltd,Automobile And Auto Components,Eq,933.0,949.0,917.75,929.2,935.55,6.35,0.68,29484.0,27602036.28,1477.75,890.0,-31.66,-8.36
Central Bank Of India,Centralbk,Financial Services,Eq,16.9,17.0,16.25,16.9,16.8,-0.1,-0.59,891053.0,14978600.93,29.65,16.25,-39.86,-10.58
Century Plyboards (India) Ltd.,Centuryply,Consumer Durables,Eq,526.0,526.35,511.05,525.7,512.1,-13.6,-2.59,35943.0,18514598.73,749.0,341.8,29.95,-8.41
Century Textile & Industries Ltd.,Centurytex,Forest Materials,Eq,808.0,817.95,797.0,805.7,806.5,0.8,0.1,156605.0,126723200.0,1024.0,607.7,30.97,0.98
Cesc Ltd.,Cesc,Power,Eq,70.95,71.9,70.5,71.2,70.75,-0.45,-0.63,565200.0,40174416.0,102.45,7.23,-90.75,-8.72
Capri Global Capital Ltd.,Cgcl,Financial Services,Eq,685.55,689.15,681.05,687.4,681.15,-6.25,-0.91,16875.0,11555156.25,805.0,436.85,29.13,2.38
Cg Power And Industrial Solutions Ltd.,Cgpower,Capital Goods,Eq,192.0,196.25,188.6,191.65,189.65,-2.0,-1.04,928649.0,178430618.9,219.65,71.7,-11.06,5.33
Chalet Hotels Ltd.,Chalet,Consumer Services,Eq,314.8,331.8,310.05,314.65,327.15,12.5,3.97,866335.0,280848480.3,332.7,159.05,77.57,5.92
Chambal Fertilizers & Chemicals Ltd.,Chamblfert,Chemicals,Eq,267.7,272.4,260.8,266.15,271.3,5.15,1.93,1548368.0,412593621.0,516.0,260.8,-13.19,-26.76
Chemplast Sanmar Ltd.,Chemplasts,Chemicals,Eq,469.8,479.0,460.8,470.15,476.25,6.1,1.3,98313.0,46324102.47,826.0,382.7,-11.06,-2.52
Cholamandalam Investment And Finance Company Ltd.,Cholafin,Financial Services,Eq,616.2,643.15,616.05,619.5,637.95,18.45,2.98,1694794.0,1067737168.0,768.0,469.25,20.7,-8.84
Cholamandalam Financial Holdings Ltd.,Cholahldng,Financial Services,Eq,590.25,610.5,586.9,593.2,602.05,8.85,1.49,17853.0,10648243.32,762.3,564.05,-10.42,-4.58
Cipla Ltd.,Cipla,Healthcare,Eq,911.2,956.05,911.2,917.2,948.0,30.8,3.36,1793834.0,1677593557.0,1083.0,850.0,-5.63,-7.63
Clean Science And Technology Ltd.,Clean,Chemicals,Eq,1486.95,1490.0,1456.0,1490.05,1458.0,-32.05,-2.15,77405.0,113280669.4,2705.0,1422.1,-11.06,-14.79
Cochin Shipyard Ltd.,Cochinship,Capital Goods,Eq,310.9,313.0,307.15,311.7,312.85,1.15,0.37,34795.0,10809066.75,402.6,280.75,-19.08,-3.53
Colgate Palmolive (India) Ltd.,Colpal,Fast Moving Consumer Goods,Eq,1488.8,1520.0,1484.35,1486.85,1515.1,28.25,1.9,437561.0,661491593.0,1823.4,1375.6,-11.8,-8.63
Container Corporation Of India Ltd.,Concor,Services,Eq,596.4,605.0,585.05,594.3,603.15,8.85,1.49,1065738.0,634167396.9,754.4,554.0,-14.9,-8.63
Coromandel International Ltd.,Coromandel,Chemicals,Eq,953.0,969.5,932.75,953.15,968.05,14.9,1.56,366177.0,349230328.4,983.95,709.35,5.8,0.87
Creditaccess Grameen Ltd.,Creditacc,Financial Services,Eq,1012.95,1025.0,995.15,1015.8,1021.9,6.1,0.6,159386.0,160874665.2,1154.0,494.7,35.44,-5.2
Crompton Greaves Consumer Electricals Ltd.,Crompton,Consumer Durables,Eq,339.95,351.1,337.1,340.15,349.8,9.65,2.84,517467.0,179317839.5,512.8,312.0,-21.73,-5.89
Csb Bank Ltd.,Csbbank,Financial Services,Eq,194.5,195.0,190.0,193.1,191.6,-1.5,-0.78,198621.0,38345770.26,374.0,178.0,-44.38,2.2
City Union Bank Ltd.,Cub,Financial Services,Eq,133.0,137.0,130.95,133.05,134.55,1.5,1.13,1461281.0,195154077.6,183.95,109.0,-20.14,-5.03
Cummins India Ltd.,Cumminsind,Capital Goods,Eq,1016.0,1030.2,1014.0,1024.2,1030.0,5.8,0.57,149758.0,153313254.9,1162.0,821.6,13.86,-0.17
